City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
323,Vardo,70.3705,31.1107,27.66,62,100,21.52,NO,light snow
324,Belaya Gora,68.5333,146.4167,-29.54,99,100,1.28,RU,overcast clouds
325,Olafsvik,64.8945,-23.7142,31.03,60,100,26.49,IS,overcast clouds
326,Sterling,39.0062,-77.4286,29.44,39,0,15.99,US,clear sky
327,Pau,43.4167,-0.5833,44.15,93,20,3.44,FR,few clouds
328,Sabha,27.0377,14.4283,53.82,32,67,9.71,LY,broken clouds
329,Clyde River,70.4692,-68.5914,-6.27,95,100,23.58,CA,light snow
330,Darhan,49.4867,105.9228,-0.65,85,100,6.46,MN,overcast clouds
331,New Amsterdam,6.25,-57.5167,73.31,91,43,3.96,GY,scattered clouds
332,Hoquiam,46.9809,-123.8893,46.45,92,100,12.66,US,overcast clouds
333,Kahului,20.8947,-156.47,83.46,78,40,13.8,US,scattered clouds
334,Takoradi,4.8845,-1.7554,78.94,88,22,8.81,GH,few clouds
335,Tottori,35.5,134.2333,33.87,93,75,10.36,JP,light shower snow
336,Alofi,-19.0595,-169.9187,81.95,72,6,11.01,NU,clear sky
337,Aljezur,37.3191,-8.8033,48.99,60,5,12.75,PT,clear sky
338,Lixourion,38.2019,20.4314,56.14,80,100,9.8,GR,overcast clouds
339,Svetlaya,46.5389,138.3297,19.65,74,100,13.04,RU,overcast clouds
340,Arandis,-22.4167,14.9667,60.46,80,3,1.66,NA,clear sky
341,Qom,34.6401,50.8764,45.91,85,100,1.81,IR,overcast clouds
342,Awjilah,29.1081,21.2869,54.3,66,64,2.17,LY,broken clouds
343,Lavrentiya,65.5833,-171.0,-14.8,92,82,4.45,RU,broken clouds
